Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,Distance
BEV_S2_2023,2023,S2,D1,995694,BEV_S2_2023,BEV,2023,272000,106000,D1,Electricity,0.8968,0.0,13600.0,2720.0,0.1719981688,288320.1719981688,0.6457664563672636,3.0,D1
Diesel_S2_2023,2023,S2,D1,995694,Diesel_S2_2023,Diesel,2023,104000,106000,D4,B20,0.223852,0.68243073016,5200.0,1040.0,0.27328747568,110240.27328747568,0.35423354363273635,1.0,D1
Diesel_S2_2023,2023,S2,D1,995694,Diesel_S2_2023,Diesel,2023,104000,106000,D4,HVO,0.223852,0.109155607648,5200.0,1040.0,0.40613692212,110240.40613692212,0.8624949564103639,4.0,D1
LNG_S2_2023,2023,S2,D1,995694,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.165239,0.41081554941000004,6650.0,1330.0,0.16715907718,140980.1671590772,0.4976362880830415,2.0,D1
LNG_S2_2023,2023,S2,D1,995694,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.167185,0.063269324215,6650.0,1330.0,0.1818671867,140980.1818671867,0.8844632471009175,5.0,D1
Diesel_S2_2023,2023,S2,D2,1383196,Diesel_S2_2023,Diesel,2023,104000,106000,D4,B20,0.223852,0.68243073016,5200.0,1040.0,0.27328747568,110240.27328747568,0.13659124701052947,1.0,D2
Diesel_S2_2023,2023,S2,D2,1383196,Diesel_S2_2023,Diesel,2023,104000,106000,D4,HVO,0.223852,0.109155607648,5200.0,1040.0,0.40613692212,110240.40613692212,0.9268708648487926,4.0,D2
LNG_S2_2023,2023,S2,D2,1383196,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.165239,0.41081554941000004,6650.0,1330.0,0.16715907718,140980.1671590772,0.4292948213561801,2.0,D2
LNG_S2_2023,2023,S2,D2,1383196,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.167185,0.063269324215,6650.0,1330.0,0.1818671867,140980.1818671867,0.8634087529894705,3.0,D2
Diesel_S2_2023,2023,S2,D3,778008,Diesel_S2_2023,Diesel,2023,104000,106000,D4,B20,0.223852,0.68243073016,5200.0,1040.0,0.27328747568,110240.27328747568,0.13659124701052947,1.0,D3
Diesel_S2_2023,2023,S2,D3,778008,Diesel_S2_2023,Diesel,2023,104000,106000,D4,HVO,0.223852,0.109155607648,5200.0,1040.0,0.40613692212,110240.40613692212,0.9268708648487926,4.0,D3
LNG_S2_2023,2023,S2,D3,778008,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.165239,0.41081554941000004,6650.0,1330.0,0.16715907718,140980.1671590772,0.4292948213561801,2.0,D3
LNG_S2_2023,2023,S2,D3,778008,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.167185,0.063269324215,6650.0,1330.0,0.1818671867,140980.1818671867,0.8634087529894705,3.0,D3
Diesel_S2_2023,2023,S2,D4,133677,Diesel_S2_2023,Diesel,2023,104000,106000,D4,B20,0.223852,0.68243073016,5200.0,1040.0,0.27328747568,110240.27328747568,0.13659124701052947,1.0,D4
Diesel_S2_2023,2023,S2,D4,133677,Diesel_S2_2023,Diesel,2023,104000,106000,D4,HVO,0.223852,0.109155607648,5200.0,1040.0,0.40613692212,110240.40613692212,0.9268708648487926,4.0,D4
LNG_S2_2023,2023,S2,D4,133677,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.165239,0.41081554941000004,6650.0,1330.0,0.16715907718,140980.1671590772,0.4292948213561801,2.0,D4
LNG_S2_2023,2023,S2,D4,133677,LNG_S2_2023,LNG,2023,133000,106000,D4,BioLNG,0.167185,0.063269324215,6650.0,1330.0,0.1818671867,140980.1818671867,0.8634087529894705,3.0,D4
BEV_S3_2023,2023,S3,D1,2183475,BEV_S3_2023,BEV,2023,309090,73000,D1,Electricity,0.898003,0.0,15454.5,3090.9,0.17222889337299999,327635.5722288934,0.645998071394898,3.0,D1
Diesel_S3_2023,2023,S3,D1,2183475,Diesel_S3_2023,Diesel,2023,118181,73000,D4,B20,0.224082,0.68313190356,5909.05,1181.81,0.27356826887999997,125272.13356826888,0.35400192860510205,1.0,D1
Diesel_S3_2023,2023,S3,D1,2183475,Diesel_S3_2023,Diesel,2023,118181,73000,D4,HVO,0.224082,0.10926776116800001,5909.05,1181.81,0.40655421342000003,125272.26655421342,0.8624590791709399,4.0,D1
LNG_S3_2023,2023,S3,D1,2183475,LNG_S3_2023,LNG,2023,151136,73000,D4,LNG,0.164823,0.40978129437,7556.8,1511.3600000000001,0.16673824326,160204.32673824325,0.4989472840244676,2.0,D1
LNG_S3_2023,2023,S3,D1,2183475,LNG_S3_2023,LNG,2023,151136,73000,D4,BioLNG,0.164684,0.062322848276,7556.8,1511.3600000000001,0.17914654888,160204.33914654888,0.8854238554659903,5.0,D1
Diesel_S3_2023,2023,S3,D2,2431901,Diesel_S3_2023,Diesel,2023,118181,73000,D4,B20,0.224082,0.68313190356,5909.05,1181.81,0.27356826887999997,125272.13356826888,0.13628160514983964,1.0,D2
Diesel_S3_2023,2023,S3,D2,2431901,Diesel_S3_2023,Diesel,2023,118181,73000,D4,HVO,0.224082,0.10926776116800001,5909.05,1181.81,0.40655421342000003,125272.26655421342,0.9253787278369682,4.0,D2
LNG_S3_2023,2023,S3,D2,2431901,LNG_S3_2023,LNG,2023,151136,73000,D4,LNG,0.164823,0.40978129437,7556.8,1511.3600000000001,0.16673824326,160204.32673824325,0.43091276987200383,2.0,D2
LNG_S3_2023,2023,S3,D2,2431901,LNG_S3_2023,LNG,2023,151136,73000,D4,BioLNG,0.164684,0.062322848276,7556.8,1511.3600000000001,0.17914654888,160204.33914654888,0.8637183948501604,3.0,D2
Diesel_S3_2023,2023,S3,D3,1002466,Diesel_S3_2023,Diesel,2023,118181,73000,D4,B20,0.224082,0.68313190356,5909.05,1181.81,0.27356826887999997,125272.13356826888,0.13628160514983964,1.0,D3
Diesel_S3_2023,2023,S3,D3,1002466,Diesel_S3_2023,Diesel,2023,118181,73000,D4,HVO,0.224082,0.10926776116800001,5909.05,1181.81,0.40655421342000003,125272.26655421342,0.9253787278369682,4.0,D3
LNG_S3_2023,2023,S3,D3,1002466,LNG_S3_2023,LNG,2023,151136,73000,D4,LNG,0.164823,0.40978129437,7556.8,1511.3600000000001,0.16673824326,160204.32673824325,0.43091276987200383,2.0,D3
LNG_S3_2023,2023,S3,D3,1002466,LNG_S3_2023,LNG,2023,151136,73000,D4,BioLNG,0.164684,0.062322848276,7556.8,1511.3600000000001,0.17914654888,160204.33914654888,0.8637183948501604,3.0,D3
Diesel_S3_2023,2023,S3,D4,205426,Diesel_S3_2023,Diesel,2023,118181,73000,D4,B20,0.224082,0.68313190356,5909.05,1181.81,0.27356826887999997,125272.13356826888,0.13628160514983964,1.0,D4
Diesel_S3_2023,2023,S3,D4,205426,Diesel_S3_2023,Diesel,2023,118181,73000,D4,HVO,0.224082,0.10926776116800001,5909.05,1181.81,0.40655421342000003,125272.26655421342,0.9253787278369682,4.0,D4
LNG_S3_2023,2023,S3,D4,205426,LNG_S3_2023,LNG,2023,151136,73000,D4,LNG,0.164823,0.40978129437,7556.8,1511.3600000000001,0.16673824326,160204.32673824325,0.43091276987200383,2.0,D4
LNG_S3_2023,2023,S3,D4,205426,LNG_S3_2023,LNG,2023,151136,73000,D4,BioLNG,0.164684,0.062322848276,7556.8,1511.3600000000001,0.17914654888,160204.33914654888,0.8637183948501604,3.0,D4
BEV_S4_2023,2023,S4,D1,14576,BEV_S4_2023,BEV,2023,395636,118000,D1,Electricity,0.900664,0.0,19781.800000000003,3956.36,0.172739249224,419374.3327392492,0.6439025703857569,3.0,D1
Diesel_S4_2023,2023,S4,D1,14576,Diesel_S4_2023,Diesel,2023,151272,118000,D4,B20,0.219827,0.67016019566,7563.6,1512.72,0.26837359468,160348.58837359468,0.35609742961424307,1.0,D1
Diesel_S4_2023,2023,S4,D1,14576,Diesel_S4_2023,Diesel,2023,151272,118000,D4,HVO,0.219827,0.107192921048,7563.6,1512.72,0.39883432437,160348.71883432436,0.8627848890810305,4.0,D1
LNG_S4_2023,2023,S4,D1,14576,LNG_S4_2023,LNG,2023,193454,118000,D4,LNG,0.167274,0.41587494606000003,9672.7,1934.54,0.16921772388,205061.40921772388,0.48632269220231317,2.0,D1
LNG_S4_2023,2023,S4,D1,14576,LNG_S4_2023,LNG,2023,193454,118000,D4,BioLNG,0.166088,0.062854176632,9672.7,1934.54,0.18067384816,205061.42067384816,0.883527338555827,5.0,D1
Diesel_S4_2023,2023,S4,D2,754717,Diesel_S4_2023,Diesel,2023,151272,118000,D4,B20,0.219827,0.67016019566,7563.6,1512.72,0.26837359468,160348.58837359468,0.13769563383566782,1.0,D2
Diesel_S4_2023,2023,S4,D2,754717,Diesel_S4_2023,Diesel,2023,151272,118000,D4,HVO,0.219827,0.107192921048,7563.6,1512.72,0.39883432437,160348.71883432436,0.927974456851911,4.0,D2
LNG_S4_2023,2023,S4,D2,754717,LNG_S4_2023,LNG,2023,193454,118000,D4,LNG,0.167274,0.41587494606000003,9672.7,1934.54,0.16921772388,205061.40921772388,0.40988378564556793,2.0,D2
LNG_S4_2023,2023,S4,D2,754717,LNG_S4_2023,LNG,2023,193454,118000,D4,BioLNG,0.166088,0.062854176632,9672.7,1934.54,0.18067384816,205061.42067384816,0.8623043661643321,3.0,D2
Diesel_S4_2023,2023,S4,D3,118899,Diesel_S4_2023,Diesel,2023,151272,118000,D4,B20,0.219827,0.67016019566,7563.6,1512.72,0.26837359468,160348.58837359468,0.13769563383566782,1.0,D3
Diesel_S4_2023,2023,S4,D3,118899,Diesel_S4_2023,Diesel,2023,151272,118000,D4,HVO,0.219827,0.107192921048,7563.6,1512.72,0.39883432437,160348.71883432436,0.927974456851911,4.0,D3
LNG_S4_2023,2023,S4,D3,118899,LNG_S4_2023,LNG,2023,193454,118000,D4,LNG,0.167274,0.41587494606000003,9672.7,1934.54,0.16921772388,205061.40921772388,0.40988378564556793,2.0,D3
LNG_S4_2023,2023,S4,D3,118899,LNG_S4_2023,LNG,2023,193454,118000,D4,BioLNG,0.166088,0.062854176632,9672.7,1934.54,0.18067384816,205061.42067384816,0.8623043661643321,3.0,D3
Diesel_S4_2023,2023,S4,D4,1809,Diesel_S4_2023,Diesel,2023,151272,118000,D4,B20,0.219827,0.67016019566,7563.6,1512.72,0.26837359468,160348.58837359468,0.13769563383566782,1.0,D4
Diesel_S4_2023,2023,S4,D4,1809,Diesel_S4_2023,Diesel,2023,151272,118000,D4,HVO,0.219827,0.107192921048,7563.6,1512.72,0.39883432437,160348.71883432436,0.927974456851911,4.0,D4
LNG_S4_2023,2023,S4,D4,1809,LNG_S4_2023,LNG,2023,193454,118000,D4,LNG,0.167274,0.41587494606000003,9672.7,1934.54,0.16921772388,205061.40921772388,0.40988378564556793,2.0,D4
LNG_S4_2023,2023,S4,D4,1809,LNG_S4_2023,LNG,2023,193454,118000,D4,BioLNG,0.166088,0.062854176632,9672.7,1934.54,0.18067384816,205061.42067384816,0.8623043661643321,3.0,D4
